"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PITG_00923"	5.47432002868339	3.78207881349541	49.27029235912	2.23014391884214e-12	1.33173044113659e-08
"PITG_09160"	4.09992164942366	2.73946320725373	19.0214016473759	1.29260514910587e-05	0.00643232637323807
"PITG_12458"	3.06526226597681	0.845030082489459	23.7921534021299	1.07319064332283e-06	0.000974011908762472
"PITG_18366"	2.90583342686953	4.35496609625944	17.9462509348511	2.27231553076702e-05	0.00845605558715893
"PITG_07452"	2.76446829862412	3.10628435168257	20.0126404583693	7.69319262610561e-06	0.00459398997667896
"PITG_13661"	2.59569235035803	5.2669790840759	22.6846253854939	1.90889127915108e-06	0.00142486803418133
"PITG_11446"	2.5414704995417	4.22010781713886	24.8308062004552	6.25891552023675e-07	0.00089037943883299
"PITG_08846"	2.50780322866439	6.11874350889914	36.7999387149991	1.30894364737562e-09	5.21090466020236e-06
"PITG_11443"	2.45512245295202	4.5736958588024	24.2392814211879	8.50792367394402e-07	0.000974011908762472
"PITG_05795"	2.35710046002302	2.92046139946564	23.2801919041306	1.40034797414285e-06	0.00111495705701254
"PITG_22087"	2.16966245012362	5.22220086182293	52.9511091052443	3.41954881937891e-13	4.08396715498423e-09
"PITG_00147"	2.08196692798977	3.81326185458989	18.0582270569866	2.14250819168009e-05	0.00825418559136624
"PITG_15596"	1.9365992594011	2.40664386585685	18.7350504022596	1.501961985817e-05	0.00664367851726384
"PITG_00972"	1.71233169248755	4.35966072389774	20.1222285643898	7.26474309623065e-06	0.00456646456833067
"PITG_11969"	1.69561682398374	6.96329252419076	25.1940642875137	5.18415073005018e-07	0.000884490173842705
"PITG_12666"	1.62377316827645	5.1389233032384	24.6967516123832	6.70971694674446e-07	0.00089037943883299
"PITG_17261"	1.56424881722184	12.333269123967	25.778441475024	3.82942046074117e-07	0.000762246142710531
"PITG_00689"	1.50473219174643	5.36072719321039	18.3354107223437	1.85231995358835e-05	0.00762836455369161
"PITG_05413"	1.40112128474485	5.82264888588482	24.0756992749426	9.26218071897377e-07	0.000974011908762472
"PITG_19999"	1.3261963406328	11.9293251927305	18.5033158884089	1.69608960524792e-05	0.00723442791266995
"PITG_01041"	1.22957153960471	10.0450499305741	18.1408712039353	2.05150518782604e-05	0.00816704215273546
"PITG_16439"	1.13568030075333	5.83518678578211	17.8932252828121	2.33651372667039e-05	0.00845605558715893
"PITG_14047"	-1.36379911378679	4.72927212061428	18.8448177482761	1.4179581667963e-05	0.00651333630232624
"PITG_19024"	-1.42328908407428	4.76648715973631	20.6355286625075	5.55555143168741e-06	0.00390293827933193
"PITG_01429"	-1.43379073832728	4.72611471748226	23.6729342901883	1.14177063741728e-06	0.000974011908762472
"PITG_16795"	-1.63803777700991	4.8123752965098	19.4563257443956	1.02926390300892e-05	0.00569384374075858
"PITG_05198"	-2.02549233809062	5.8649004818729	18.902951232571	1.37539726051221e-05	0.00651333630232624
"PITG_15399"	-2.15529100640844	4.52679871632497	20.3069653294323	6.59600249894068e-06	0.00437644765804714
"PITG_12545"	-2.36738723675766	5.39796356097848	35.5718420604957	2.45815236517226e-09	7.33942842431308e-06
"PITG_07661"	-2.53077194439649	6.00969485544812	33.4613598222499	7.26939447781307e-09	1.73636756497043e-05
"PITG_14489"	-2.91729520481457	0.579393990108936	19.3085054208966	1.11209855119344e-05	0.00577469260734922
"PITG_16910"	-3.03602429021939	3.3808366352103	23.875430423355	1.02775144165019e-06	0.000974011908762472
"PITG_00831"	-5.25719895996987	0.475395606346721	19.4203164994046	1.04885340615163e-05	0.00569384374075858
