Gene	US24_1_M	US24_2_M	US23_2_M	US8_2_M	Function
PITG_16043	29.26772323	46.41105131	42.36871714	140.2812834	Putative uncharacterized protein
PITG_08491	10.3921626	24.3265033	22.30515089	129.9632548	"12-oxophytodienoate reductase, putative"
PITG_00792	37.75112127	29.45465388	24.71277884	118.4534781	Putative uncharacterized protein
PITG_15980	37.56933417	35.09819649	23.99325784	115.6622789	"Glycoside hydrolase, putative"
PITG_14237	6.483739929	8.658585919	3.763648289	96.28069308	"Glycoside hydrolase, putative"
PITG_15235	8.84697224	8.838973125	3.929691596	36.00333409	"Secreted RxLR effector peptide protein, putative"
PITG_23076	5.998974327	8.478198712	8.025426499	31.51859822	NPP1-like protein
PITG_17441	1.333105406	4.35506256	5.86686351	27.37884204	Putative uncharacterized protein
PITG_15682	0.999829055	1.726563264	2.186236874	14.99093527	Putative uncharacterized protein
PITG_23156	123.0092716	75.29877397	124.6155018	7.903170898	Small cysteine rich protein SCR58
PITG_16981	27.93461783	22.72878804	14.11368108	2.916646403	Thrombospondin-like protein
PITG_08795	8.150121687	27.1096202	26.98203737	1.505365885	Putative uncharacterized protein
PITG_13930	12.27062931	13.01364848	16.68735234	1.223109782	"Avr2 family secreted RxLR effector peptide protein, putative"
PITG_10934	5.423315175	4.89622418	5.590124665	0.344979682	Putative uncharacterized protein
PITG_07156	4.635571071	6.004317021	7.610318232	0.282256103	"Serine protease family S10, putative"
PITG_23273	13.81581966	14.68867254	19.37171914	0.188170736	Crinkler (CRN) family protein
PITG_12920	4.696166771	9.380134745	5.645472434	0.094085368	Putative uncharacterized protein
PITG_02971	12.51301211	14.45674613	17.46222111	0.062723579	Putative uncharacterized protein
PITG_03297	2.666210812	1.494636855	1.383694224	0.062723579	Putative uncharacterized protein
PITG_04865	5.120336673	2.525420893	1.771128607	0.062723579	Putative uncharacterized protein
PITG_05907	5.544506575	5.875469016	6.088254586	0.062723579	Putative uncharacterized protein
PITG_08758	1.848168858	1.726563264	1.522063646	0.062723579	Chloride Channel (ClC) Family
PITG_10290	4.48408182	8.890512327	14.11368108	0.062723579	"Alcohol dehydrogenase, putative"
PITG_10933	2.817700063	2.113107278	2.186236874	0.062723579	Putative uncharacterized protein
PITG_13269	3.908422668	2.473881691	7.444274925	0.062723579	Putative uncharacterized protein
PITG_15021	3.817529117	1.649254461	2.186236874	0.062723579	Putative uncharacterized protein
PITG_00364	2.21174306	1.133862442	1.522063646	0.031361789	Putative uncharacterized protein
PITG_00948	1.242211856	5.463155401	1.992519683	0.031361789	Putative uncharacterized protein
PITG_01459	1.454296807	1.262710446	2.933431755	0.031361789	Putative uncharacterized protein
PITG_07775	1.939062409	2.525420893	3.403887791	0.031361789	"Splicing factor 3B subunit, putative"
PITG_08517	3.423657066	7.215488266	1.162303148	0.031361789	Putative uncharacterized protein
PITG_09480	2.24204091	1.417328052	3.874343827	0.031361789	Putative uncharacterized protein
PITG_10569	4.756762472	10.20476198	5.285711936	0.031361789	Putative uncharacterized protein
PITG_12739	1.969360259	1.778102465	2.269258527	0.031361789	Putative uncharacterized protein
PITG_15146	2.696508662	4.921993781	7.831709308	0.031361789	Putative uncharacterized protein
PITG_18997	1.121020455	1.571945658	1.245324802	0.031361789	ATP-binding Cassette (ABC) Superfamily
PITG_21660	1.908764559	2.241955282	1.964845798	0.031361789	Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase)
PITG_21776	3.453954916	2.860425705	3.348540022	0.031361789	Putative uncharacterized protein
PITG_22795	1.363403256	1.417328052	1.466715877	0.031361789	Putative uncharacterized protein
PITG_00874	2.575317262	2.98927371	2.352280181	0	"Carbohydrate-binding protein, putative"
PITG_01196	2.21174306	3.27273932	2.10321522	0	Putative uncharacterized protein
PITG_02434	6.483739929	7.447414674	3.902017712	0	Putative uncharacterized protein
PITG_02435	3.666039867	4.123136152	3.154822831	0	Putative uncharacterized protein
PITG_03663	4.36289042	2.731577701	7.250557734	0	Putative uncharacterized protein
PITG_03666	6.241357128	7.292797068	4.483169286	0	Putative uncharacterized protein
PITG_06824	1.181616155	1.288480047	1.660433069	0	Putative uncharacterized protein
PITG_07366	5.544506575	5.231228992	5.977559048	0	Putative uncharacterized protein
PITG_07371	1.454296807	1.62348486	2.767388448	0	"Taurine dioxygenase, putative"
PITG_08079	2.363232311	1.185401644	1.992519683	0	Putative uncharacterized protein
PITG_08297	4.181103319	2.061568076	1.106955379	0	"Aquaporin, putative"
PITG_08705	7.271484033	16.62139261	20.81076113	0	Putative uncharacterized protein
PITG_09733	5.453613025	1.881180869	15.91248358	0	Putative uncharacterized protein
PITG_12552	2.817700063	4.380832161	5.258038051	0	Putative uncharacterized protein
PITG_14530	4.574975371	4.07159695	1.743454722	0	Putative uncharacterized protein
PITG_19631	4.30229472	4.251984156	10.95885825	0	Putative uncharacterized protein
PITG_20749	1.302807556	2.576960095	1.660433069	0	Putative uncharacterized protein
PITG_21323	4.514379671	4.483910565	2.130889105	0	Putative uncharacterized protein
PITG_21364	0.999829055	2.138876879	4.621538708	0	Putative uncharacterized protein
